Region ,District ,Sector ,Municipality,Order Date ,Description of the Violation,Order Amount of Environmental Penalty per Violation 
Northern,Sault Ste. Marie,Metal Mining,District of Algoma,2019-10-08,"Violation of Total Suspended Solids concentration limit at Sampling Point 0100 under Section 18(1) of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",9285.00
Northern,Sault Ste. Marie,Metal Mining,District of Algoma,2019-10-08,"Violation of Total Suspended Solids concentration limit at Sampling Point 0100 under Subsection 18(1) of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",4285.00
Northern,Sault Ste. Marie,Metal Mining,District of Algoma,2019-10-08,Violation of Total Ammonia Nitrogen concentration limit at Sampling Point 0100 under Condition 5(1) of Environmental Compliance Approval No. 8479-B3QHJZ.,1640.00
Northern,Sault Ste. Marie,Metal Mining,District of Algoma,2019-10-08,"Failure to report a limit exceedance (Environmental Penalty Order number 216, Violation 1) ""as soon as reasonably possible,"" as required under Subsection 37(4) of O. Reg 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",1000.00
Northern,Sault Ste. Marie,Metal Mining,District of Algoma,2019-10-08,"Failure to report a limit exceedance (Environmental Penalty Order number 216, Violation 2) ""as soon as reasonably possible,"" as required under Subsection 37(4) of O. Reg 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",1000.00
Northern,Sault Ste. Marie,Metal Mining,District of Algoma,2019-10-08,"Failure to report a limit exceedance (Environmental Penalty order number 216, Violation 3) ""as soon as reasonably possible,"" as required under Condition 8(2) of Environmental Compliance Approval No. 8479-B3QHJZ.",1000.00
Northern,Sault Ste. Marie,Metal Mining,District of Algoma,2019-10-08,"Failure to report a limit exceedance (Environmental Penalty Order number 216, Violation 4)  ""as soon as reasonably possible,"" as required under Subsection 37(4) of O. Reg 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",5000.00
Northern,Sault Ste. Marie,Metal Mining,District of Algoma,2019-10-08,"Failure to report a limit exceedance (Environmental Penalty Order number 216, Violation 5)  ""as soon as reasonably possible,"" as required under Subsection 37(4) of O. Reg 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",2500.00
Northern,Sault Ste. Marie,Metal Mining,District of Algoma,2019-10-08,"Failure to report a limit exceedance (Environmental Penalty order number 216, Violation 6) ""as soon as reasonably possible,"" as required under Condition 8(2) of Environmental Compliance Approval No. 8479-B3QHJZ.",1000.00
Northern,Sault Ste. Marie,Metal Mining,District of Thunder Bay,2019-02-26,"Violation of acute lethality test - Daphnia magna under Section 19 of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector. ",12500.00
Northern,Sault Ste. Marie,Metal Mining,District of Thunder Bay,2019-02-26,"Violation of acute lethality test - Daphnia Magna under Section 19 of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",12500.00
Northern,Sault Ste. Marie,Metal Mining,District of Thunder Bay,2019-02-26,"Violation of acute lethality test - Daphnia Magna under Section 19 of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",12500.00
Northern,Sault Ste. Marie,Metal Mining,District of Thunder Bay,2019-02-26,"Violation of Total Suspended Solids concentration limit at Sampling Point 0100 under Subsection 18(1) of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",1860.00
Northern,Sault Ste. Marie,Metal Mining,District of Thunder Bay,2019-02-26,"Violation of Total Suspended Solids concentration limit at Sampling Point 0100 under Section 18(1) of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",1860.00
Northern,Sudbury,Pulp & Paper,Espanola,2019-01-30,"Violation of daily plant loading biological oxygen demand limit under Subsection 14(1) of O. Reg. 760/93, Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.",1209.00
Northern,Sudbury,Pulp & Paper,Espanola,2019-01-30,"Violation of daily plant loading biological oxygen demand limit under Subsection 14(1) of O. Reg. 760/93, Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.",1209.00
Northern,Timmins,Metal Mining,South Porcupine,2019-05-29,"Discharge of tailings slurry containing cyanide, into the South Porcupine River that may impair the quality of the water in violation of Section 30(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O. 40.",34650.00
Northern,Timmins,Metal Mining,Tully Township,2019-03-15,"Violation of Total Suspended Solids concentration limit at Sampling Point BGD-1 under Section 18(1) of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",3500.00
Northern,Timmins,Metal Mining,Tully Township,2019-03-15,"Violation of Total Suspended Solids concentration limit at Sampling Point BGD-1 under Section 18(1) of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",1001.00
Northern,Timmins,Metal Mining,Tully Township,2019-03-15,"Violation of Total Suspended Solids concentration limit at Sampling Point BGD-1 under Section 18(1) of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",1148.00
Northern,Timmins,Metal Mining,Tully Township,2019-03-15,"Violation of Total Suspended Solids concentration limit at Sampling Point BGD-1 under, Section 18(1) of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",700.00
Northern,Timmins,Metal Mining,Black River – Matheson,2019-10-10,"Violation of acute lethality test - Rainbow Trout under Section 19 of O. Reg. 560/94, Effluent Monitoring and Effluent Limits - Metal Mining Sector.",10000.00
Southwest,London,Industrial Minerals,Zorra,2019-03-19,"Violation of total suspended solids limit under Section 18(2) of O. Reg. 561/94, Effluent Monitoring and Effluent Limits - Industrial Minerals Sector.",1180.80
Southwest,Owen Sound,Electric Power,Kincardine,2019-01-14,"Violation of acute lethality test - Rainbow Trout under Subsection 17(1) of O. Reg. 215/95, Effluent Monitoring and Effluent Limits - Electric Power Generation Sector.",9750.00
Southwest,Owen Sound,Electric Power,Kincardine,2019-08-29,Violation of morpholine concentration under Condition 5(10) of Environmental Compliance Approval No. 0732-B2MKYL.,3061.90
Southwest,Sarnia,Petroleum,Sarnia,2019-03-21,"Discharge of process water into the St. Clair River that may impair the quality of the water in violation of Section 30 (1) of the Ontario Water Resources Act  R.S.O. 1990, c. O.40.",16250.00
Southwest,Sarnia,Inorganic Chemical,St. Clair Township,2019-03-21,Violation of polyethylene glycol dimethyl ether (selexol solvent) concentration limit at Sampling Point 200 under Condition 7(1) of Environmental Compliance Approval No. 5252-ASUK4D.,10000.00
West Central,Hamilton,Iron & Steel,Hamilton,2019-11-22,"Violation of Total Suspended Solids concentration limit at the Ottawa Street Slip under Section 16(2) of O. Reg. 214/95, Effluent Monitoring and Effluent Limits - Iron and Steel Manufacturing Sector.",1430.00
West Central,Hamilton,Iron & Steel,Hamilton,2019-11-22,"Violation of lead concentration limit at the Ottawa Street Slip under Section 16(2) of O. Reg. 214/95, Effluent Monitoring and Effluent Limits - Iron and Steel Manufacturing Sector.",13500.00
West Central,Hamilton,Iron & Steel,Hamilton,2019-11-22,"Violation of zinc concentration limit at the Ottawa Street Slip under Section 16(2) of O. Reg. 214/95, Effluent Monitoring and Effluent Limits - Iron and Steel Manufacturing Sector.",10000.00
Northern,Timmins,Pulp & Paper,Kapuskasing,2018-02-23,"Violation of acute lethality test - Daphnia Magna  under Section 16 of O. Reg. 760/93, Effluent Monitoring and Effluent Limits - Pulp and Paper Sector. 
",9750.00
Northern,Timmins,Pulp & Paper,Kapuskasing,2018-02-23,"Violation of acute lethality test - Daphnia Magna under Section 16 of O. Reg. 760/93, Effluent Monitoring and Effluent Limits - Pulp and Paper Sector. 
",9750.00
Northern,Timmins,Pulp & Paper,Kapuskasing,2018-02-23,"Violation of acute lethality test - Daphnia Magna under Section 16 of O. Reg. 760/93, Effluent Monitoring and Effluent Limits - Pulp and Paper Sector. 
",9750.00
Northern,Timmins,Metal Mining,Timmins,2018-04-18,Violation of Spill Prevention and Contingency Plan under section 91.1 of the Environmental Protection Act.,30000.00
Northern,North Bay,Industrial Minerals,Town of Kearney,2018-04-17,"Violation of acute lethality test - Daphnia Magna  under Environmental Compliance Approval No. 4523-8ZLH6M and Section 19 of O. Reg. 561/94, Effluent Monitoring and Effluent Limits - Industrial Minerals Sector. ",10000.00
Northern,North Bay,Industrial Minerals,Town of Kearney,2018-04-17,"Violation of acute lethality test - Daphnia Magna  under Environmental Compliance Approval No. 4523-8ZLH6M and Section 19 of O. Reg. 561/94, Effluent Monitoring and Effluent Limits - Industrial Minerals Sector. ",10000.00
Eastern,Peterborough,Pulp & Paper,Quinte West,2018-05-04,"Violation of acute lethality test - Daphnia Magna under Section 16 of O. Reg. 760/93, Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.",7800.00
Eastern,Peterborough,Pulp & Paper,Quinte West,2018-05-04,"Violation of acute lethality test - Daphnia Magna under Section 16 of O. Reg. 760/93, Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.",7800.00
Eastern,Peterborough,Pulp & Paper,Quinte West,2018-05-04,"Violation of acute lethality test - Daphnia Magna under Section 16 of O. Reg. 760/93, Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.",7800.00
Eastern,Peterborough,Pulp & Paper,Quinte West,2018-05-04,Violation of total suspended solids daily concentration limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,1312.00
Eastern,Peterborough,Pulp & Paper,Quinte West,2018-05-04,Violation of total suspended solids daily concentration limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,972.00
Eastern,Peterborough,Pulp & Paper,Quinte West,2018-05-04,Violation of total suspended solids daily concentration limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,923.40
Eastern,Peterborough,Pulp & Paper,Quinte West,2018-05-04,Violation of total suspended solids daily concentration limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,2443.40
Eastern,Peterborough,Pulp & Paper,Quinte West,2018-05-04,Violation of total suspended solids daily concentration limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,1413.60
Eastern,Peterborough,Pulp & Paper,Quinte West,2018-03-19,Violation of weekly Phenol limit under section 19(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,8200.00
Eastern,Peterborough,Pulp & Paper,Quinte West,2018-03-19,Violation of weekly Phenol limit under section 19(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,8200.00
Eastern,Peterborough,Pulp & Paper,Quinte West,2018-03-19,Discharge of stormwater into the Trent River that may impair the quality of water under section 30(1) of the Ontario Water Resource Act.,16000.00
Southwest,Sarnia,Petroleum,St. Clair Township,2018-03-28,Discharge of cooling water containing heavy atmospheric gas (petroleum) and heavy straight-run naphtha (petroleum) into Talfourd Creek that may impair the quality of water under section 30 of the Ontario Water Resource Act.,21937.50
Southwest,Sarnia,Petroleum,St. Clair Township,2018-03-28,Failure to report forthwith to the ministry a discharge of cooling water that may impair the quality of the water as required under section 30(2) of the Ontario Water Resources Act.,26250.00
Southwest,Sarnia,Petroleum,St. Clair Township,2018-03-28,"Violation of condition 8(3), failure to provide a written report to the director within 10 days following a discharge, as required by Environmental Compliance Approval No. 2413-9HHJ92",1625.00
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,"Violation of acute lethality test - Rainbow Trout under Section 14(1) of O. Reg. 760/93, Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.",6500.00
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,Violation of daily biological oxygen demand limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,1345.50
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,Violation of daily biological oxygen demand limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,1066.00
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,Violation of daily Phenol limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,6500.00
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,Violation of daily Phenol limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,6500.00
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,Violation of daily Phenol limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,6500.00
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,Violation of daily Phenol limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,6500.00
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,Violation of daily Phenol limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,6500.00
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,Violation of monthly Phenol limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,6500.00
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,Violation of daily total suspended solids limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,2437.50
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,"Violation of acute lethality test - Daphnia Magna and Rainbow Trout under Section 14(1) of O. Reg. 760/93, Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.",8125.00
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,Violation of daily total suspended solids limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,1625.00
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,"Violation of acute lethality test - Rainbow Trout under Section 14(1) of O. Reg. 760/93, Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.",8125.00
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,Violation of daily biological oxygen demand limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,2437.50
Northern,Sudbury,Pulp & Paper,Espanola,2018-04-05,Violation of daily biological oxygen demand limit under section 14(1) of O. Reg. 760/93 Effluent Monitoring and Effluent Limits - Pulp and Paper Sector.,1485.25
Southwest,Owen Sound,Electric Power,Kincardine,2018-02-01,"Violation of acute lethality test - Daphnia Magna and Rainbow Trout  under Section 17(1) of O. Reg. 215/95, Effluent Monitoring and Effluent Limits - Electric Power Generation. 
",8125.00
Southwest,Sarnia,Organic Chemical,Sarnia,2018-03-19,"Violation of acute lethality test - Daphnia Magna under Section 17 of O. Reg. 63/95, Effluent Monitoring and Effluent Limits - Organic Chemical Manufacturing Sector. ",6500.00
Southwest,Sarnia,Inorganic Chemical,St. Clair Township,2018-03-19,Failure to conduct equipment calibration as required by Environmental Compliance Approval No. 5252-ASUK4D.,2500.00
Southwest,Owen Sound,Electric Power,Kincardine,2018-05-22,"Violation of acute lethality test - Daphnia Magna and Rainbow Trout  under Section 17(1) of O. Reg. 215/95, Effluent Monitoring and Effluent Limits - Electric Power Generation. 
",8125.00
Northern,Timmins,Metal Mining,Matachewan,2018-09-11,Discharge of contaminated mine water containing copper and cyanide into Mistinikon Lake that may impair the quality of water under section 30(1) of the Ontario Water Resource Act.,13162.50
Northern,North Bay,Industrial Minerals,Town of Kearney,2018-09-11,"Violation of acute lethality test - Rainbow Trout and Daphnia Magna under Section 19 of O. Reg. 561/94, Effluent Monitoring and Effluent Limits - Industrial Minerals Sector. ",10000.00
Northern,North Bay,Industrial Minerals,Town of Kearney,2018-09-11,"Violation of acute lethality test - Rainbow Trout and Daphnia Magna under Section 19 of O. Reg. 561/94, Effluent Monitoring and Effluent Limits - Industrial Minerals Sector. ",10000.00
Northern,North Bay,Industrial Minerals,Town of Kearney,2018-09-11,"Violation of acute lethality test - Rainbow Trout and Daphnia Magna under Section 19 of O. Reg. 561/94, Effluent Monitoring and Effluent Limits - Industrial Minerals Sector. ",10000.00
Northern,North Bay,Industrial Minerals,Town of Kearney,2018-09-11,"Violation of acute lethality test - Rainbow Trout and Daphnia Magna under Section 19 of O. Reg. 561/94, Effluent Monitoring and Effluent Limits - Industrial Minerals Sector. ",10000.00
Northern,North Bay,Industrial Minerals,Town of Kearney,2018-09-11,Violation of weekly suspended solids median concentration limit under Condition 5.2(a) of Environmental Compliance Approval No. 4523-8ZLH6M.,9285.00
Northern,North Bay,Industrial Minerals,Town of Kearney,2018-09-11,Violation of weekly suspended solids median concentration limit under Condition 5.2(a) of Environmental Compliance Approval No. 4523-8ZLH6M.,2860.00
Northern,North Bay,Industrial Minerals,Town of Kearney,2018-09-11,Violation of weekly suspended solids median concentration limit under Condition 5.2(a) of Environmental Compliance Approval No. 4523-8ZLH6M.,1430.00
Northern,North Bay,Industrial Minerals,Town of Kearney,2018-09-11,Violation of weekly suspended solids median concentration limit under Condition 5.2(a) of Environmental Compliance Approval No. 4523-8ZLH6M.,2860.00
Northern,North Bay,Industrial Minerals,Town of Kearney,2018-09-11,Violation of weekly iron median concentration limit under Condition 5.2(a) of Environmental Compliance Approval No. 4523-8ZLH6M.,9285.00
Northern,North Bay,Industrial Minerals,Town of Kearney,2018-09-11,Violation of weekly iron median concentration limit under Condition 5.2(a) of Environmental Compliance Approval No. 4523-8ZLH6M.,9285.00
Southwest,Owen Sound,Electric Power,Kincardine,2018-06-15,Violation of Total Ammonia concentration limit under condition 5(10) of Environmental Compliance Approval No. 6383-5FDRFJ.,2554.50
Southwest,London,Industrial Minerals,St. Marys,2018-09-24,"Failure to sample at Control Points 0100 and 0200 for total suspended solids as required under section 22(1) of O. Reg. 561/94, Effluent Monitoring and Effluent Limits - Industrial Minerals Sector.",1625.00
Southwest,Sarnia,Electric Power,Sarnia,2018-11-01,Violation of pH limit at Control Point 1600 in Section 6(1) of Environmental Compliance Approval No. 7512-5RAR5J.,1430.00
Southwest,Sarnia,Electric Power,Sarnia,2018-11-01,Violation of reporting condition 11(1) of Environmental Compliance Approval No. 7512-5RAR5J.,2906.25
Southwest,Sarnia,Electric Power,Sarnia,2018-11-01,Violation of pH limit at Control Point 1600 in Section 6(1) of Environmental Compliance Approval No. 7512-5RAR5J.,1430.00
West Central,Niagara,Inorganic Chemical,Niagara Falls,2018-11-19,Violation of monthly average phosphorus concentration limit under Environmental Compliance Approval No. 4-0012-88-006.,1430.00
West Central,Niagara,Inorganic Chemical,Niagara Falls,2018-11-19,Violation of monthly total phosphorus concentration limit under Environmental Compliance Approval No. 4-0012-88-006.,1215.00
Southwest,Sarnia,Inorganic Chemical,St. Clair Township,2018-11-29,Violation of Total Residual Chlorine concentration limit at Sampling Point 0200 under Condition 7(1) of Environmental Compliance Approval Number 5252-ASUK4D.,7800.00
